2018-07-18 11:30:47.803 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:30:47.803 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:30:50.370 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.658 seconds (JVM running for 755.844)
2018-07-18 11:30:59.758 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:30:59.758 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:31:01.830 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.129 seconds (JVM running for 767.304)
2018-07-18 11:32:23.210 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:32:23.217 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:32:28.120 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 5.095 seconds (JVM running for 853.594)
2018-07-18 11:32:33.781 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:32:33.781 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:32:39.097 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 5.374 seconds (JVM running for 864.57)
2018-07-18 11:32:45.657 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:32:45.658 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:32:48.081 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.468 seconds (JVM running for 873.554)
2018-07-18 11:33:20.638 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:33:20.639 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:33:22.709 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.131 seconds (JVM running for 908.183)
2018-07-18 11:33:38.929 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:33:38.929 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:33:41.013 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 2.148 seconds (JVM running for 926.486)
2018-07-18 11:34:02.349 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 11:34:02.349 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 11:34:05.317 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 3.037 seconds (JVM running for 950.79)
2018-07-18 12:01:11.942 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 12:01:11.943 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 12:01:20.519 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 8.859 seconds (JVM running for 2585.993)
2018-07-18 13:54:16.383 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 6308 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 13:54:16.383 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
